AdverseSummary,Description,DevStatus,DevStatusId,Drugs,Indications,OutcomeSummary,ProtocolTitle,References,TreatmentSummary,TrialId,TrialStatus
null,<ProtocolDescription><para>Patients would receive MV-NIS intratumorally as a single-dose on day 1. Atezolizumab would be given at day 15 and then every 3 weeks.</para></ProtocolDescription>,Phase 1 Clinical,C1,"MV-NIS (lung cancer), Vyriad; atezolizumab",Measles virus infection; Metastatic lung cancer; Metastatic non small cell lung cancer,null,Trial of Measles Virotherapy in Combination With Atezolizumab in Patients With Metastatic Non-Small Cell Lung Cancer,NCT02919449; VYR-MV1-101,null,273428,Terminated
null,"<ProtocolDescription><para>The study population will consists of 150 healthy young adult participants aged 18 to 25 years who received the first two MMR doses at the age of 14 month and 9 years, and have no history of mumps disease and/or have not lived in a household with anyone who has had mumps disease.</para><para>Participants will receive a third dose of the MMR (M-M-RvaxPRO) vaccine intramuscular. Blood will be collected prior to, 10 days, 4 weeks and one year following a third vaccine dose of MMR. Saliva will be collected prior to, 4 weeks and one year following a third vaccine dose of MMR.<br/></para></ProtocolDescription>",Phase 2 Clinical,C2,M-M-RvaxPRO,Measles virus infection; Mumps virus infection; Rubella virus infection,null,Third MMR Vaccine Dose In Young Adults,BMR-3; NL57282.094.16 IIV-291; NTR5911,null,270107,Not yet recruiting
"<AdverseEvents><para>In April 2019, results were published. It was observed that, solicited and unsolicited AEs were reported  and there was no difference in the incidence of adverse events (AEs) between the two treatment groups [<ulink linkType=""Reference"" linkID=""2165435"">2165435</ulink>].</para></AdverseEvents>",<ProtocolDescription><para>JVC-001 would be administered by subcutaneous inoculation.</para></ProtocolDescription>,Phase 1/Phase 2 Clinical,C12,JVC-001,Measles virus infection; Mumps virus infection; Rubella virus infection,"<Outcomes><para>In April 2019, results were published. The seroconversion rates of rubella and measles were 100%. The immunogenicity against mumps virus genotype G was higher in JVC-001 group with seroconversion rate of 77.1%, when compared to the seroconversion rate of 65.3% in the control group. Geometric mean titer was 12 and 7.1, in the JVC-001 and control groups, respectively. It was observed that, JVC-001 had induced good immunogenicity against other genotypes (A, B, and D) [<ulink linkType=""Reference"" linkID=""2165435"">2165435</ulink>]. </para></Outcomes>","Non-blind, randomized trial to evaluate the safety and immunogenicity of JVC-001 intended for Japanese healthy children",JapicCTI-153031,<Regimens><para>Patients were randomized to receive  JVC-001 by sc inoculation or the control group (MR + monovalent mumps vaccine)   [<ulink linkType="Reference" linkID="2165435">2165435</ulink>].</para></Regimens>,244020,Recruiting
null,<ProtocolDescription><para>Patients will receive SA 14-14-2 JE vaccine (CD-JEV).</para></ProtocolDescription>,Phase 4 Clinical,C4,SA-14-14-2,Measles virus infection; Mumps virus infection; Rubella virus infection,null,Evaluation of the immunogenicity and safety of Japanese encephalitis vaccine when given with measles-mumps-rubella vaccine,2016-CT0360; JEV06; PHRR160822-001339,null,268796,Not yet recruiting
null,null,Phase not specified,NS,null,Measles virus infection; Yellow fever virus infection,"<Outcomes><para>In May 2015, results were published. In 91.7% of children, a positive measles serology was observed. When compared for neutralizing antibodies betwen   test  and reference group, it was reported as 90.7 and 92.9%   respectively (p = 0.6). A lower response to YF vaccination  was not reported from quantitative analysis of the immune response though it was 1 to 28 days after measles vaccination   [<ulink linkType=""Reference"" linkID=""1672549"">1672549</ulink>].</para></Outcomes>",An observational study evaluating the immune response to yellow fever and measles vaccines in 9 to 15-month old children,null,<Regimens><para>Children vaccinated against YF 7 to 28 days after receiving the vaccine against measles (test group) were compared with children vaccinated the same day against these two diseases (referent group)  [<ulink linkType="Reference" linkID="1672549">1672549</ulink>].</para></Regimens>,232758,Status not specified
null,"<ProtocolDescription><para>The study consists of 4 arms:<br/>Arm 1: healthy infants will receive MenACYW conjugate vaccine 0.5 ml im, and routine vaccines (<ulink linkType=""Drug"" linkID=""59852"">DTaP-IPV//Hib</ulink>, Pneumococcal 13-valent conjugate vaccine, Pentavalent <ulink linkType=""Drug"" linkID=""22877"">rotavirus vaccine</ulink>, Hepatitis B vaccine, Measles, mumps, rubella [MMR] vaccine and Varicella vaccine) at 2, 4, 6, and 12 to 15 months of age.<br/>Arm 2: healthy infants will receive MenACYW conjugate vaccine 0.5 ml im at 2, 4, 6, and 15 to 18 months of age and routine vaccines (DTaP-IPV//Hib, Pneumococcal 13-valent conjugate vaccine, Pentavalent rotavirus vaccine, Hepatitis B vaccine, Measles, mumps, rubella [MMR] vaccine, Varicella vaccine and Hepatitis A vaccine) at 2, 4, 6, 12 to 15 months of age, and 15 to 18 months of age.<br/>Arm 3: healthy infants will receive Menveo 0.5 ml im at 2, 4, 6, and 12 months of age and routine vaccines (DTaP-IPV//Hib, Pneumococcal 13-valent conjugate vaccine, Pentavalent rotavirus vaccine, Hepatitis B vaccine, Measles, mumps, rubella [MMR] vaccine and Varicella vaccine) at 2, 4, 6, 12, and 15 to 18 months of age.<br/>Arm 4: healthy infants will receive Menveo 0.5 ml im at 2, 4, 6, and 12 months of age and routine vaccines (DTaP-IPV//Hib, Pneumococcal 13-valent conjugate vaccine, Pentavalent rotavirus vaccine, Hepatitis B vaccine, Measles, mumps, rubella [MMR] vaccine and Varicella vaccine) at 2, 4, 6, 12, and 15 to 18 months of age.</para><para>All participants will be assessed for immunogenicity at baseline (pre-vaccination), and after      completing the infant schedule and the second year of life vaccination schedule. Safety will be assessed throughout the study period, and includes solicited injection site      and systemic reactions as well as unsolicited adverse events after each vaccine injection,      and serious adverse events occurring throughout the trial.</para></ProtocolDescription>",Phase 3 Clinical,C3,"Menveo; Pentaxim; RotaTeq; quadrivalent meningococcal tetanus toxoid conjugate vaccine (meningitis), Sanofi Pasteur",Bacterial pneumonia; Hepatitis A virus infection; Hepatitis B virus infection; Measles virus infection; Meningitis; Mumps virus infection; Neisseria meningitidis meningitis; Rotavirus infection; Rubella virus infection; Varicella zoster virus infection,null,Immunogenicity and Safety of a Quadrivalent Meningococcal Conjugate Vaccine When Administered Concomitantly With Routine Pediatric Vaccines in Healthy Infants and Toddlers in the US,MET42; NCT03537508,null,340960,Recruiting
null,"<ProtocolDescription><para>The study will be structured as a two-arm, cluster RCT. One arm (83 clinics) will serve as the control and will operate as the status quo, while the other arm (84 clinics) will receive new incentives full program. This design will measure the causal effect of new incentives program on the likelihood of an infant receiving a vaccine. The cash incentives will be offered to caregivers who will bring their infants for vaccination at a program clinic.The investigators will plan to limit our interaction and follow-ups to the duration of the evaluation (scoping to endline). The study (researchers and implementers) interactions with patients (caregivers and infants) will consist of census and immunization surveys and cash disbursements. The last of these interactions will be the endline immunization survey, which will be conducted between November 2019 and January 2020. New incentives (the implementer) will continue to offer cash disbursements for some period after that (with exact duration dependent on whether the evaluation results justify scale-up). However, these disbursements will not be part of the study the investigators will wish to register with patients as they will occur after final data will be collected. Patients will recieve BCG, PENTA or  measles 1 vaccine.</para></ProtocolDescription>",Phase 2 Clinical,C2,null,Bordetella pertussis infection; Clostridium tetani infection; Corynebacterium diphtheriae infection; Haemophilus infection; Hepatitis B virus infection; Measles virus infection; Mycobacterium tuberculosis infection; Poliovirus infection; Rotavirus infection; Yellow fever virus infection,null,Randomized evaluation of All Babies are Equal - a conditional cash transfer for routine childhood immunization in north-west Nigeria,ISRCTN10808433,null,369982,No longer recruiting
"<AdverseEvents><para>Results were published in September 2011. The most commonly observed adverse events in both groups within 43 days after the second vaccination dose were upper respiratory tract infection, cough, rhinorrhea, diarrhea, nasopharyngitis, bronchitis, pharyngitis, vomiting, and gastroenteritis.  There were no fatal or non-fatal serious  adverse events related to study medication observed  [<ulink linkType=""Reference"" linkID=""1224693"">1224693</ulink>].</para></AdverseEvents>",<ProtocolDescription><para>Patients were divided into two groups to receive vaccine  by sc injections in the upper arm:<br/>Priorix-Tetranew WS group: patients received two doses of Priorix-Tetra vaccine formulated with new measles and rubella working seeds at Day 0 and Week 12.<br/>Priorix-Tetra current WS Group: patients received two doses of Priorix-Tetra vaccine (<ulink linkType="Drug" linkID="17141">Priorix-Tetra</ulink>)  manufactured with current working seed virus or new measles and rubella working seeds at Day 0 and Week 12 [<ulink linkType="Reference" linkID="1224693">1224693</ulink>].</para></ProtocolDescription>,Phase 2 Clinical,C2,Priorix-Tetra,Measles virus infection; Mumps virus infection; Rubella virus infection; Varicella zoster virus infection,"<Outcomes><para>Results were published in September 2011. At  week 6 (post-vaccination dose 1), percentage of patients with anti-measles antibody concentration >/=  150 mIU/ml was 99.4% in MMRVnew WS group and 100% in <ulink linkType=""Drug"" linkID=""17141"">Priorix-Tetra</ulink> group; percentage of patients with anti-mumps antibody concentration >/= 231 U/ml was 89.7% in MMRVnew WS group and 90.4% in <ulink linkType=""Drug"" linkID=""17141"">Priorix-Tetra</ulink> group; percentage of patients with anti-rubella antibody concentration >/=  4 IU/ml was  99.7% in MMRVnew WS group and 100% in <ulink linkType=""Drug"" linkID=""17141"">Priorix-Tetra</ulink> group; percentage of patients with anti-varicella antibody titer >/=  1 : 4 was 97.6% in MMRVnew WS group and 92.9% in <ulink linkType=""Drug"" linkID=""17141"">Priorix-Tetra</ulink> group [<ulink linkType=""Reference"" linkID=""1224693"">1224693</ulink>].</para></Outcomes>",Immunogenicity and Safety Study of GSK Biologicals 208136 Vaccine Formulated With New Measles and Rubella Working Seeds,108760; 2011-005881-38; MEMURU-OKA-049; MEMURU-OKA-049; NCT00892775,null,54026,Completed
null,"<ProtocolDescription><para>The study would consist of two arms:<br/>Arm 1: participants would receive three doses of V-419 (at 2, 3, and 4 months of age) and two doses of MCC-TT (at 3 and 4 months of age), followed by a single dose of Hib-MCC at 12 months of age. As routine vaccination, participants would also receive   two doses of Prevnar 13 (at 2 and 4 months of age) and one dose of a measles, mumps, and rubella (MMR) vaccine (<ulink linkType=""Drug"" linkID=""89684"">M-M-RvaxPRO</ulink>) (at 12 months of age).<br/>Arm 2: participants would receive three doses of V-419 (at 2, 3, and 4 months of age) and two doses of MCC-CRM (at 3 and 4 months of age), followed by a single dose of Hib-MCC at 12 months of age. As routine vaccination, participants would also receive    two doses of Prevnar 13 (at 2 and 4 months of age) and one dose of an MMR vaccine (at 12 months of age).</para></ProtocolDescription>",Phase 3 Clinical,C3,"M-M-RvaxPRO; Menitorix; NeisVac-C; Prevnar 13; Vaxelis; meningococcal C/CRM-197 conjugate vaccine, Chiron",Bacterial meningitis; Bacterial pneumonia; Bordetella pertussis infection; Clostridium tetani infection; Corynebacterium diphtheriae infection; Haemophilus influenzae infection; Hepatitis B virus infection; Measles virus infection; Mumps virus infection; Neisseria meningitidis meningitis; Poliovirus infection; Rubella virus infection; Streptococcus pneumoniae infection,null,Immunogenicity and Safety of V-419 (PR-51) in Combination With MCC in Infants and Toddlers,2011-002413-11; NCT01553279; PRI01C; UKCRN ID: 11587; V419-011,null,85664,Completed
null,<ProtocolDescription><para>This study would include an active control group who received  <ulink linkType="Drug" linkID="17141"/><ulink linkType="Drug" linkID="17141">Priorix-Tetra</ulink>.</para></ProtocolDescription>,Phase 3 Clinical,C3,Priorix-Tetra,Measles virus infection; Mumps virus infection; Rubella virus infection; Varicella zoster virus infection,null,"Immunogenicity and Safety of a Combined Vaccine to Prevent Measles, Mumps, Rubella and Chickenpox Diseases",103388; MMRV-042; NCT00127010,null,11387,Completed
"<AdverseEvents><para>Safety data  showed that  313 (83.7%) children in the im group and 325 (86.4%) children in the sc group had at least one adverse event  within 42 days following vaccination. In both groups, approximately half of the children experienced at least one adverse event (injection-site reaction or systemic adverse event) related to each vaccine: 50.8% in the im group and 53.7% in the sc group had an adverse event related to vaccination with <ulink linkType=""Drug"" linkID=""10828"">M-M-II</ulink>. The corresponding rates for <ulink linkType=""Drug"" linkID=""4645"">Varivax</ulink> were 46.3 and 55.9%, respectively. The proportions of children who experienced a maximal rectal temperature of  >/= 39.4degC  between days 0 and 42 were comparable for the two groups: 20.9% (78/373) in the im group and 22.5% (84/374) in the sc group. Generalized varicella-like rashes were reported less frequently in the im group compared with the sc group. Erythema and swelling were the most frequently reported injection-site reactions for both vaccines. Most injection-site reactions were of mild intensity or small size (&lt;/= 2.5 cm). There was a trend for lower rates of injection-site erythema and swelling in the im group [<ulink linkType=""Reference"" linkID=""1294367"">1294367</ulink>], [<ulink linkType=""Reference"" linkID=""1058570"">1058570</ulink>].</para></AdverseEvents>","<ProtocolDescription><para>Children would receive single injections of <ulink linkType=""Drug"" linkID=""3643"">M-M-R II</ulink> and <ulink linkType=""Drug"" linkID=""4645"">Varivax</ulink> concomitantly at separate injection sites. Both vaccines would be administered either intramuscularly  (im group n = 374) or subcutaneously (sc group, n = 378). Immunogenicity would be assessed before vaccination and 42 days after vaccination. Injection-site erythema, swelling and pain would be recorded from days 0 to 4 after vaccination. Body temperature would be monitored daily between 0 and 42 days after vaccination. Other adverse events would be recorded up to 42 days after vaccination and serious adverse events until the second study visit [<ulink linkType=""Reference"" linkID=""1058570"">1058570</ulink>].</para></ProtocolDescription>",Phase 3 Clinical,C3,M-M-R II; varicella-zoster vaccine (Varivax/Zostavax),Measles virus infection; Mumps virus infection; Pediatric varicella zoster virus infection,"<Outcomes><para>Results were published in December 2006.  At 6 weeks, in Group 1,  94.3,  97.7, 98.1 and 88.4% of subjects showed  antibody response for measles, mumps, rubella and varicella, respectively (Geometric mean titers [GMT] were 2396.43, 86.42, 97.22 and 9.83 respectively) and the corresponding reponders in Group B were 96.1, 98.1, 98.1 and 85.5% (GMTs: 2560.64, 89.77, 94.37 and 9.21, respectively) [<ulink linkType=""Reference"" linkID=""1294367"">1294367</ulink>].</para><para>Results in April 2009 showed that antibody response rates at day 42 in the per-protocol population initially seronegative to measles, mumps, rubella or varicella were similar between the im and sc groups for all four antigens. Response rates were 94 to 96% for measles, 98% for both mumps and rubella.  For varicella,   86% in the sc group and 88% in the im group had antibody concentrations >/= 5 gpELISA units/ml, while 98.5% and 99.4% in the im and sc groups, respectively, had concentrations >/= 1.25 gpELISA units/ml.  The immunogenicity results for the FAS were comparable with those for each PPS [<ulink linkType=""Reference"" linkID=""1058570"">1058570</ulink>]. </para></Outcomes>",Immunogenicity and Safety of Concomitant Administration of MMR rHA and VARIVAX by Intramuscular Versus Subcutaneous Route,EudraCT#2004_002586_21; NCT00432523; V205-011; X04-MMRr-301,"<Regimens><para>Children received single injections of <ulink linkType=""Drug"" linkID=""3643"">M-M-R II</ulink> and <ulink linkType=""Drug"" linkID=""4645"">Varivax</ulink> concomitantly at separate injection sites. Both vaccines were administered either intramuscularly  (im group n = 374) or subcutaneously (sc group, n = 378)  [<ulink linkType=""Reference"" linkID=""1294367"">1294367</ulink>], [<ulink linkType=""Reference"" linkID=""1058570"">1058570</ulink>].</para></Regimens>",11525,Completed
null,null,Phase 2 Clinical,C2,M-M-R II; ProQuad; varicella-zoster vaccine (Varivax/Zostavax),Measles virus infection; Mumps virus infection; Pediatric varicella zoster virus infection; Rubella virus infection,<Outcomes><para>All children were seroconverted and <ulink linkType="Drug" linkID="47279">ProQuad</ulink> showed equivalency to the <ulink linkType="Drug" linkID="3643">MMR</ulink> plus <ulink linkType="Drug" linkID="4645">varicella</ulink> vaccination regimen [<ulink linkType="Reference" linkID="511970">511970</ulink>].</para></Outcomes>,A Study To Compare The Bioequivalence Of Proquad With Standard MMR And Varicella Vaccines,null,<Regimens><para>Children between 15 and 18 months received <ulink linkType="Drug" linkID="47279">ProQuad</ulink> or a standard <ulink linkType="Drug" linkID="3643">MMR</ulink> vaccine then a <ulink linkType="Drug" linkID="4645">varicella vaccine</ulink> 6 weeks later [<ulink linkType="Reference" linkID="511970">511970</ulink>].</para></Regimens>,15335,No longer recruiting
null,<ProtocolDescription><para>Subjects would receive <ulink linkType="Drug" linkID="47279">ProQuad</ulink> (either refrigerated or frozen).</para></ProtocolDescription>,Phase 3 Clinical,C3,ProQuad,Measles virus infection; Mumps virus infection; Rubella virus infection; Varicella zoster virus infection,null,"Study to evaluate frozen versus refrigerated MMRV (combined Measles, Mumps, Rubella, and Varicella) investigational vaccine",2004_076; NCT00092430,null,12456,Completed
null,"<ProtocolDescription><para>Both pre-term and term infants (n = 16 each) would make two study visits.  The first, at 15 months of age would coincide with a routine 15-month MMR, varicella, and pneumococcal conjugate immunizations during which 2 ml of blood would be drawn. At a second study visit 4 to 6 weeks later, another 2 ml of blood would be drawn.</para><para>Measles titers would be measured by neutralization assay.  Mumps and rubella titers would be      measured by enzyme-linked florescent immunoassay.  Varicella titers would be measured by      enzyme linked immunosorbent assay. Safety would be assessed by parental recall of vaccine-related adverse events and by active,      prospective collection of blood-draw-associated adverse events. The study duration would be 1.5 to 8.5 months.<br/></para></ProtocolDescription>",Phase 4 Clinical,C4,null,Measles virus infection; Mumps virus infection; Rubella virus infection; Varicella zoster virus infection,null,MMR and Varicella Vaccine in Premature Infants,DMID 03-140; N01-AI-25460; NCT00156559,null,172468,Completed
null,null,Phase 4 Clinical,C4,Priorix,Measles virus infection; Mumps virus infection,"<Outcomes><para>In August 2007, results were published. Incidence of solicited local symptoms reported during the 4-day (days 0 to 3) follow-up period after vaccination (total vaccinated cohort) with <ulink linkType=""Drug"" linkID=""11457"">Priorix</ulink> were: redness (12%), swelling (8.7%) and pain (12.6%). Incidence of solicited general symptoms reported during the 4-day (days 0 to 3) follow-up period after vaccination (total vaccinated cohort) with <ulink linkType=""Drug"" linkID=""11457"">Priorix</ulink> were: fever >/= 37.5degC in 4.4%, >/= 39degC in 0.3% and related in 0.5% subjects; nervousness, crying (any nervousness, crying in 8.9%, Grade 3 in 0.1% and related in 1.9%), rash (any in 4.0% and related in 0.5%), diarrhea of any sort in 1.8% subjects. Serious adverse events on therapy were not observed [<ulink linkType=""Reference"" linkID=""1524383"">1524383</ulink>].</para></Outcomes>","A Phase IV, Open, Multicentric, Post-marketing Surveillance Study to Monitor the Safety and Reactogenicity of GlaxoSmithKline Biologicals’ Live Attenuated Measles-Mumps-Rubella vaccine (Priorix) in Korean Subjects Administered According to the Prescribing Information",209762-145 (MeMuRu-145),<Regimens><para>Subjects received <ulink linkType="Drug" linkID="11457">Priorix</ulink> subcutaneous or intramuscular injection   according to the prescribing information [<ulink linkType="Reference" linkID="1524383">1524383</ulink>].</para></Regimens>,172850,Completed
"<AdverseEvents><para>In July 2018, results were published. Both vaccines showed comparable reactogenicity profiles. Injection site redness (12.2 versus 11.7%), pain (11.8 versus 11.5%), and fever (3.0 versus 5.2%) were the most common solicited AEs seen in Priorix versus M-M-R II groups, respectively. Overall, Priorix was well tolerated [<ulink linkType=""Reference"" linkID=""2116294"">2116294</ulink>].</para></AdverseEvents>","<ProtocolDescription><para>This study would evaluate the immunogenicity of GSK's trivalent MMR vaccine (referred to as INV_MMR vaccine; Priorix) in contrast to the US standard of care (M-M-R II, Merck and Company, referred to as COM_MMR) when both are used as a second dose in subjects 7 years of age and older. In this study, the Priorix vaccine might be administered as a second dose to persons with either a history or formal documentation of at least one dose immunization with any MMR vaccine. This study was intended to support licensure of GSK's MMR vaccine in the US.</para><para>Subjects would be randomized to:<br/>Arm 1: subjects would receive either one dose of <ulink linkType=""Drug"" linkID=""11457"">Priorix</ulink> vaccine subcutaneously.<br/>Arm 2: subjects would receive either one  dose <ulink linkType=""Drug"" linkID=""3643"">M-M-R II</ulink> vaccine subcutaneously.</para></ProtocolDescription>",Phase 3 Clinical,C3,M-M-R II; Priorix,Measles virus infection; Mumps virus infection; Rubella virus infection,"<Outcomes><para>In July 2018, results were published. A total of 869 subjects were included in the according-to-protocol cohort (Priorix: n = 433; M-M-R II: n = 436). Anti-measles, anti-mumps, and anti-rubella antibody GMCs reported were 1790.2 mIU/ml, 113.5 EU/ml, and 76.1 IU/ml, respectively, with seroresponse rates of 98.8, 98.4, and 99.5%, respectively, following a dose of Priorix vaccine. Results demonstrated non-inferiority of Priorix compared to M-M-R II [<ulink linkType=""Reference"" linkID=""2116294"">2116294</ulink>].</para></Outcomes>","Immunogenicity and Safety of GSK Biologicals Combined Measles-Mumps-Rubella Vaccine in Volunteers, 7 Years of Age and Older",115231; 2011-003672-36; 209762; MMR-159; NCT02058563,<Regimens><para>Subjects were randomized to receive Priorix vaccine or M-M-R II vaccine [<ulink linkType="Reference" linkID="2116294">2116294</ulink>].</para></Regimens>,172270,Completed
"<AdverseEvents><para>In May 2018, results were published. A total of 145 deaths were reported in children (n = 8309) who were enrolled from 18 July 2012 to 3 December 2015 (mortality rate: 16/1000 person-years). The mortality was lower than anticipated and did not differ by randomization group (hazard ratio, 1.05) [<ulink linkType=""Reference"" linkID=""2050864"">2050864</ulink>].</para></AdverseEvents>","<ProtocolDescription><para>Design, Guinea-Bissau: newborns were followed through the Health and Demographic Surveillance System (HDSS) of the Bandim Health Project. Information on routine and campaign vaccinations will be collected regularly through home visits and health centre registers. After 4 weeks  of having received the third dose of pentavalent vaccine (Penta3), the children would be eligible for enrollment in the trial if they are not severely ill. Eligible children would be invited to take part in the trial. Provided parental informed consent is given, the children would be randomized to <ulink linkType=""Drug"" linkID=""56118"">Edmonston-Zagreb</ulink> at 4 and 9 months of age or only at 9 months, at least 28 days after the third dose of pentavalent vaccine or would follow the normal vaccination schedule. Cost estimates would be based on consumption of services and average cost per unit. The incremental cost effectiveness ratio would be calculated.</para><para>Sample size, follow-up and analyses: to detect a 40% reduction in overall mortality at each site the investigators intend to enroll at least 3750 children in Guinea-Bissau. The children would be followed for survival and hospitalisations to three years of age or to the end of the study after three years. The investigators would analyze the effects by site and combined; by sex and season; possible interactions with other interventions like campaigns with drugs, vaccines or micronutrients would be explored.</para><para>Antibody study: 450 children would be enrolled in a subgroup study to examine the effect of maternal antibody levels on subsequent antibody responses to <ulink linkType=""Drug"" linkID=""56118"">Edmonston-Zagreb</ulink>. The children would be followed to 24 months of age and samples collected at 4, 9 and 24 months of age.</para></ProtocolDescription>",Phase 4 Clinical,C4,"measles vaccine (inhaled aerosol), WHO",Measles virus infection,"<Outcomes><para>In May 2018, results were published. At enrollment, 4 and 21% of children in Burkina Faso and Guinea-Bissau had protective measles antibody levels, respectively. By 9 months of age, no measles-unvaccinated/-unexposed child had protective levels, while 92% (306/333) of early MV recipients had protective levels. At final follow-up, 98 and 97% of children in the early MV group and control group had protective levels, respectively [<ulink linkType=""Reference"" linkID=""2050864"">2050864</ulink>].</para></Outcomes>",Trial of Additional Measles Vaccine to Reduce Child Mortality,NCT01644721; OPTIMUNISE_BHP_EARLY MV,<Regimens><para>Children randomized 1:1 to an extra early standard dose of measles vaccine (MV) (Edmonston-Zagreb strain) or no extra MV 4 weeks after the third Penta3. All children received routine MV at 9 months [<ulink linkType="Reference" linkID="2050864">2050864</ulink>].</para></Regimens>,198691,Recruiting
null,"<ProtocolDescription><para>In this study, the titer of antibody is measured against measles, mumps, rubella and VZV before vaccination.  Live attenuated vaccine is administered if patient's titer of antibody against virus is not positive. Second dose is administered at 4 to 12 weeks after first dose. Finally the titer of antibody of virus that vaccine was administered 8 to 16 weeks after second dose is measured.</para></ProtocolDescription>",Phase 2 Clinical,C2,null,Measles virus infection; Mumps virus infection; Rubella virus infection; Varicella zoster virus infection,null,FBMTG-VAC2015,UMIN000016500,null,222688,Recruiting
null,null,Phase not specified,NS,M-M-R II; Priorix; varicella-zoster vaccine (Varivax/Zostavax),Measles virus infection; Mumps virus infection; Rubella virus infection,"<Outcomes><para>Local reactogenicity was assessed for 4 days post-vaccination. The three production lots of <ulink linkType=""Drug"" linkID=""11457"">Priorix</ulink> were comparable for immunogenicity as well as for safety parameters. In addition, equivalent immunogenicity to all vaccine components was demonstrated for <ulink linkType=""Drug"" linkID=""11457"">Priorix</ulink> and <ulink linkType=""Drug"" linkID=""3643"">MMR II</ulink> [<ulink linkType=""Reference"" linkID=""342761"">342761</ulink>].</para></Outcomes>","A Study To Compare The Safety, Immunogenicity, and Consistency Of Three Production Lots Of Priorix With MMR II Vaccine",null,<Regimens><para>Children were randomized equally to three lots of <ulink linkType="Drug" linkID="11457">Priorix</ulink> and <ulink linkType="Drug" linkID="3643">MMR II</ulink> and each subject would also receive <ulink linkType="Drug" linkID="4645">Varivax</ulink> at a separate site.  Local reactogenicity would be assessed post-vaccination [<ulink linkType="Reference" linkID="342761">342761</ulink>].</para></Regimens>,15243,No longer recruiting
null,"<ProtocolDescription><para>Children  will be followed through the Health and Demographic Surveillance      System (HDSS) of the Centre de Recherche en Sante de Nouna. Information on routine and      campaign vaccinations will be collected regularly through home visits and health centre      registers. Later,  4 weeks after having received the third dose of pentavalent vaccine (Penta3),      the children will be eligible for enrollment in the trial if they are not severely ill.      Eligible children will be invited to take part in the trial. Provided parental informed      consent is given, the children will be randomised to <ulink linkType=""Drug"" linkID=""56118"">Edmonston-Zagreb</ulink> (EZ) MV at 4 and 9 months of age or only at      9 months. Cost estimates will be based on consumption of services and average cost/unit.      <br/>Children (n = 450)  will be enrolled in a subgroup study to examine the effect of      maternal antibody levels on subsequent antibody responses to <ulink linkType=""Drug"" linkID=""56118"">Edmonston-Zagreb</ulink> (EZ) MV. Children will be      followed to 24 months of age and samples collected at 4, 9 and 24 months of age. </para></ProtocolDescription>",Phase 4 Clinical,C4,"measles vaccine (inhaled aerosol), WHO",Measles virus infection,null,Trial of Additional Measles Vaccine to Reduce Child Mortality. Burkina Faso,NCT01668745; OPTIMUNISE_NOUNA_EARLY MV,null,200688,Recruiting
null,"<ProtocolDescription><para>Subjects will receive single-dose of 0.5 ml    <ulink linkType=""Drug"" linkID=""97994"">MMRV vaccine</ulink>, sc,  in the upper arm. </para></ProtocolDescription>",Phase 1 Clinical,C1,"MMRV vaccine, Zydus Cadila Healthcare",Measles virus infection; Mumps virus infection; Rubella virus infection; Varicella zoster virus infection,null,"To Assess the Safety and Tolerability of Measles, Mumps, Rubella and Varicella Vaccine (Live-Attenuated, Freeze-Dried) in Healthy Adult Male Human Subjects",CTRI/2015/10/006291; MMRVC 1001,null,243853,Not yet recruiting
null,"<ProtocolDescription><para>Subjects will be divided into two arms:<br/>Arm 1: subjects will receive Measles-Rubella (MR) Vaccine, Live, Attenuated (Freeze-dried) of BE Ltd, 0.5 ml per dose sc on day 0. Subjects in group-I will be further equally randomized (100 subjects/batch) to receive vaccine dose from one of the three batches. <br/>Arm 2: subjects will receive SIIL's live attenuated MR-Vac vaccine 0.5 ml per dose to be sc on day 0. </para><para>All enrolled subjects would be followed-up for a period of 42 days after a single primary dose of MR vaccine administration.Only optimal quantity of venous blood sample approximately 3.5 ml for Immunological assay tests will be drawn twice during the study period, once at screening (visit-1) and again 42 days (Visit-3) after the single-dose. Vital signs will be recorded at all specified visits. </para></ProtocolDescription>",Phase 2/Phase 3 Clinical,C23,MRBEV,Measles virus infection; Rubella virus infection,null,A clinical trial to assess the safety and protective efficacy of Biological Es Measles-Rubella Vaccine in 9 to 12 months old Infants in India,BECT036/MRV-PII/III/CTP-02; CTRI/2016/07/007109,null,266205,No longer recruiting
null,"<ProtocolDescription><para>Patient already transplanted or waiting for a transplantation will be enrolled and will undergo vaccination as follows: BCG, measles mumps rubella (MMR), varicella (chicken pox), rotavirus seasonal flu (live vaccine delivered nasally and inactivated vaccine injectable), yellow fever, diphteria tetanus poliomyelitis whopping cough (DTwP), haemophilus influenzae type b, hepatitis B, meningococcus conjugate, pneumococcus, human papillomavirus, hepatitis A. Vaccine administration will be done according to French Vaccine Schedule 2015 for mainstream population and for grafted children or transplant candidate children.</para></ProtocolDescription>",Phase 3 Clinical,C3,null,Clostridium tetani infection; Hepatitis A virus infection; Hepatitis B virus infection; Influenza virus infection; Measles virus infection; Pediatric varicella zoster virus infection; Streptococcus pneumoniae infection,null,"Vaccines Immunogenicity in Renal, Hepatic, Cardiac or Pulmonary Transplanted Children",2015-A00854-45; 69HCL17_0354; COVAGREF; NCT03180359,null,301127,Recruiting
